1,11A,Sunray,F9CF32,
1,31A,Emerald Garden,18936F,
1,51A,Golden Grail,97803D,
1,71A,Inviting Green,157354,
1,91A,Woodford,7C6B40,
1,111A,Country Club,05886D,
1,131A,Glouchester Brown,544B3F,
1,151A,Expresso,54443C,
1,171A,Baked Gold,8B643D,
1,191A,Carriage Red,75353A,
1,211A,Golden Wonder,CD882E,
1,231A,Keepsake Rose,913B4E,
1,251A,Meadow Daisy,A83749,
1,12A,Yellow Cluster,E6C144,
1,52A,Teton Gold,BF9E32,
1,72A,Ultra Green,00785B,
1,92A,Breen,99904F,
1,112A,Green Garden,1E7F68,
1,132A,Aged Bronze,72593C,
1,152A,Newtowne Brown,674740,
1,172A,Verona Gold,A56F34,
1,192A,Full Wine,6D415A,
1,212A,Baroque,B36F3A,
1,232A,English Rose,843C58,
1,252A,All Gold,FFA90A,
1,272A,Fascination,B24165,
1,13A,Vivid Lime,C1BE3A,
1,33A,Intense Jade,008F7B,
1,53A,Citrina,B7A437,
1,K100,Neti*,#F4D56B,
1,K101,Morning*,#DAD697,
1,K102,View*,#D8EBEF,
1,K103,Inspire*,#EAE8EB,
1,K104,Awake*,#ECE6B2,
1,K105,Sacred*,#F0EADE,
1,K106,Muni*,#FBEAE3,
1,K107,Discover*,#EBEACB,
1,K108,Light*,#FFEDCD,
1,K73,Chetam*,#BE5132,
1,K74,Karuna*,#D99021,
1,K75,Field*,#AFA72A,
1,K76,Spirit*,#3D507B,
1,K77,Fire*,#C43635,
1,K79,Mist*,#C0C4AD,
1,K80,Culture*,#72616B,
1,K81,Ameya*,#E5766B,
1,K82,Acarya*,#F7A7A0,
1,K83,Asana*,#C3C9D9,
1,K84,Saucha*,#78323C,
1,K85,Revive*,#54B7A5,
1,K86,Jai*,#9FA8C5,
1,K87,Harmony*,#FFD5BD,
1,K88,Goldenrod*,#FFC100,
1,K89,Padmasana*,#E79FB7,
1,K90,Purpose*,#AAB096,
1,K92,Winter*,#C7C2BF,
1,K93,Clean*,#ECF5E2,
1,K94,Memory*,#B0C8CA,
1,K95,Elevate*,#CFCCDD,
1,K96,Ananda*,#F8AC94,
1,K97,Oasis*,#E9E6D3,
1,K98,Snowfall*,#E4DFD9,
1,K99,Savala*,#FFD0CA,
1,P37,Tree*,#626A45,
1,P38,Evening*,#305581,
1,P39,Vado*,#7A6671,
1,P40,Salamba*,#BF8C33,
1,P41,Meditation*,#14575D,
1,P42,Peace*,#909E7A,
1,P43,Prana*,#8D7B93,
1,P44,Vitality*,#D88330,
1,P45,Valley*,#638246,
1,P47,Comfort*,#FCC2AE,
1,P48,Nurture*,#CF8B7E,
1,P49,Sky*,#619DC2,
1,P50,Niyama*,#D0B9D3,
1,P51,Satya*,#D7948B,
1,P52,Metaphor*,#A98680,
1,P53,Balance*,#49A8AC,
1,P54,Breath*,#EEDAD3,
1,P55,Restore*,#679D90,
1,P56,Rain*,#8FB9C9,
1,P57,Ajala*,#ADB5CA,
1,P58,Poetry*,#D3CAAB,
1,P60,Day*,#A2A226,
1,P61,Summer*,#F1C36B,
1,P62,Spring*,#C9C472,
1,P63,Attune*,#AAC2B2,
1,P64,Still*,#FEEECD,
1,P65,Calm*,#FFD39A,
1,P66,Dew*,#E7E5D6,
1,P67,Pileus*,#E5E0E4,
1,P68,Nimbus*,#DEDFDA,
1,P69,Open*,#CDE7E6,
1,P70,Air*,#E8F5E4,
1,P71,Whole*,#D1E3ED,
1,P72,Truth*,#DFE4EA,
1,V01,Embrace*,#524149,
1,V02,Landscape*,#E4AF53,
1,V03,Leaf*,#818666,
1,V04,Flow*,#497E82,
1,V05,Setting,#6B6C80,
1,V06,Narada*,#AC8A88,
1,V07,Wind*,#7BA5B5,
1,V08,Strength*,#C85632,
1,V09,Earth*,#795C54,
1,V10,Stream*,#85B4AC,
1,V11,Garden*,#AFB997,
1,V12,Surya,#EA7C65,
1,V13,Luxury*,#744150,
1,V14,Sea*,#BEDEE9,
1,V15,Rising,#F2DFA5,
1,V16,Spice*,#B29E7B,
1,V17,Fertilty*,#CEAB8D,
1,V18,Darshana*,#CABFC3,
1,V19,Moon*,#FAE5BA,
1,V20,Create*,#F6A89B,
1,V21,Prasada*,#E6E3EA,
1,V22,Samsara*,#E4DFC9,
1,V23,Forward*,#F2F0BD,
1,V24,Chakra*,#EAD4D6,
1,V25,Wave*,#C9CAC5,
1,V26,Time*,#DCD5B9,
1,V27,Horizon*,#B8D1CB,
1,V28,Sun*,#FBEECB,
1,V29,Cloud*,#E9CFD8,
1,V30,Nature*,#BCC4CF,
1,V31,Grass*,#C4CDBA,
1,V33,Namaste*,#E0D1CA,
1,V34,Kanpur*,#DEDDE2,
1,V35,Wash*,#E0E0DE,
1,V36,Autumn*,#F2EADF,
1,K78,Clay*,#CB8377,
1,P46,Ahmisa*,#E1AC22,
1,P59,Clarity*,#EFE6A5,
1,V32,Sand*,#F0C287,
